smiles,sol
CC(N)=O,1.58
CNN,1.34
CC(O)=O,1.22
C1CCNC1,1.15
NC(=O)NO,1.12
OCC(O)CO,1.12
CN(C)C(C)=O,1.11
C1=CN=NC=C1,1.1
C1=CN=CN=C1,1.1
CC(N)CC(O)=O,1.08
C1CNCCN1,1.07
C1CCNCC1,1.07
OC1=CC=NC=C1,1.02
OC1=NC=CC=C1,1.02
OC(=O)CCCC(O)=O,1.0
CN1CCOCC1,1.0
COC(N)=O,0.97
CN1C=CC=CC1=O,0.96
CCOC(N)=O,0.85
COC(=O)C1=CCCN(C)C1,0.81
OC1=CC(O)=CC=C1,0.81
C1=CC=NC=C1,0.76
CC1CNCCN1,0.74
OC1=C(O)C=CC=C1,0.62
NC(=O)C1=CC=CN=C1,0.61
O=C1NC=NC=C1,0.59
CCC=O,0.58
COC=O,0.58
C=CC=O,0.57
C1CCOC1,0.56
CCC(C)=O,0.52
CC1CNC(C)CN1,0.49
COCOC,0.48
CC1=CC=CC(C)=N1,0.45
CC1=CC=C(C)N=C1,0.4
CC1=CC(C)=NC=C1,0.38
CC1=CC=CN=C1C,0.38
O=C1C=CC=C2C3CNCC(C3)CN12,0.36
OC1C(O)C(O)C(O)C(O)C1O,0.35
CC=CC=O,0.32
CCC(N)C(O)=O,0.31
O=C1CCC(=O)N1,0.3
CC(C)C(O)=O,0.28
CN1CCCCC1,0.23
CC(=O)CC(C)=O,0.22
CCOC=O,0.15
C=CC#N,0.15
CC1CCCO1,0.11
CC(C)(C)OC(N)=O,0.1
CCC(C)(C)O,0.08
NNC1=CC=CC=C1,0.07
CC(C)CO,0.04
CCS(=O)(=O)CC,0.04
C1=NC2=C(N=C1)N=CN=C2,0.02
NNC(=O)C1=CC=NC=C1,0.01
OC1=CC=CC=C1,0.0
CCCC=O,-0.01
C1CCOCC1,-0.03
CCC1NC(=O)NC1=O,-0.06
CC1=CC(O)=NO1,-0.07
CC(O)C(N)C(O)=O,-0.09
CCOCC,-0.09
O=CC1=CC=CO1,-0.1
CC1=NC2=C(C=N1)N=CC=N2,-0.12
CC(C)(S)C(N)C(O)=O,-0.13
CCN(CC)CC,-0.14
N1C=CC=C1,-0.17
OC1CC(O)C(O)C(O)C1O,-0.17
CN1C2=C(N(CC(O)CO)C=N2)C(=O)N(C)C1=O,-0.17
O=NN1CCCCC1,-0.17
CCCC(C)=O,-0.19
CCCC(O)=O,-0.19
CN(C)NC(=O)CCC(O)=O,-0.2
OC(=O)CCC(O)=O,-0.2
CC(C)C(C)O,-0.2
COC(=O)C=C,-0.22
CCC(O)CC,-0.24
OC(=O)C1C2CCC(O2)C1C(O)=O,-0.27
CCCC(C)O,-0.29
CC(C)(C(O)=O)C(C)(CC(O)=O)C(O)=O,-0.29
ClCCC#N,-0.29
OCC1=C(O)C=CC=C1,-0.29
CC(C)COC(N)=O,-0.3
NC(N)=NC#N,-0.31
CCC(C)(O)CC,-0.38
NC1=CC=C(N)C=C1,-0.38
CCCOC,-0.39
CC(C)C(C)CO,-0.39
OCC1=CC=CC=C1,-0.4
CSCCC(N)C(O)=O,-0.42
NC1=CC=CC=C1N,-0.42
CNC(C)C(O)C1=CC=CC=C1,-0.42
OC1CCCCC1,-0.44
